Entity,Year,Unsafe_water_source,Unsafe_sanitation,Household_air_pollution_from_solid_fuels,Child_wasting,Low_birth_weight_for_gestation,Secondhand_smoke,Alcohol_use,Drug_use,Diet_low_in_fruits,Unsafe_sex,High_fasting_plasma_glucose,High_body_mass_index,High_systolic_blood_pressure,Smoking,Iron_deficiency,Vitamin_A_deficiency,Low_bone_mineral_density,Air_pollution,Outdoor_air_pollution,Diet_high_in_sodium,Diet_low_in_whole_grains
Albania,2010,4.802752602,2.241875173,707.476549,52.73128951,144.9486112,499.1485678,1253.315664,107.2720532,798.9982218,56.94624576,2230.814191,2121.231166,6003.591511,3335.402402,0.861008166,7.587295529,37.77825356,1458.566692,765.42,1382.434742,1862.565854
Albania,2011,4.699012638,2.159755339,696.0183715,49.74336379,138.7293039,509.7650304,1293.954413,112.0405041,776.6940602,56.98111433,2323.197467,2192.53217,6168.175744,3469.749551,0.837747577,7.102849444,37.42242713,1515.251642,834.41,1419.174283,1910.513458
Albania,2012,4.573722492,2.05920391,713.6091174,47.82446034,131.8565535,521.5344969,1332.879621,116.4862822,757.2053495,57.08923011,2416.43353,2261.577455,6334.235395,3582.079823,0.80707884,6.751196629,39.60235779,1514.209704,816.01,1454.093466,1956.999519
Albania,2013,4.464492804,1.956670949,722.947112,46.24103672,125.8853591,536.4869656,1372.969274,121.6164233,749.548061,57.33989286,2527.107056,2343.163799,6533.63618,3713.108075,0.779772629,6.464515767,39.52683429,1544.039316,837.06,1496.700877,2015.316025
Albania,2014,4.321290792,1.84653873,734.9934249,44.82094791,121.0577137,553.1989523,1419.653773,127.1081261,783.6614912,57.48291682,2653.186574,2434.721445,6755.309234,3869.697735,0.748332921,6.223166072,40.73298873,1570.049046,851.57,1546.179911,2080.626378
Albania,2015,4.195118883,1.742279025,726.2740553,43.357227,114.5691858,565.8658281,1444.999122,131.8445426,780.4678678,57.68434082,2758.749441,2502.383966,6912.155602,3969.522821,0.717916427,5.973833254,41.61093863,1610.578552,901.5,1577.19397,2123.608609
Albania,2016,4.080630784,1.641918988,737.1626712,41.89728747,111.1860816,578.6519357,1467.884547,136.8316471,780.1221342,57.79015963,2870.719453,2569.111575,7077.207174,4066.509719,0.693820077,5.742125959,42.45729935,1611.353458,891.58,1622.403364,2163.412998
Albania,2017,4.091663843,1.597906849,736.8814547,40.61320894,106.8532782,592.1159196,1485.350647,141.5175619,784.6990017,57.75968084,2992.681104,2635.437768,7246.026904,4161.156448,0.666506861,5.559881962,43.33951352,1638.57099,919.59,1668.336331,2206.716542
Austria,1990,0.587016686,0.474697474,222.0308993,12.61441097,233.7887429,1147.071679,7245.27632,364.8252694,2320.464463,492.7106121,11185.69085,7333.578754,22463.6923,14323.96963,2.053935593,1.545080079,696.158024,4443.284931,4280.03,2806.066043,4809.836547
Austria,1991,0.583544278,0.485799359,215.9783766,11.63341716,239.2320078,1150.561278,7076.546354,396.8712538,2324.822329,494.4052161,11660.00973,7502.86446,22501.75875,14361.67781,2.24787175,1.410710391,660.6342754,4474.216835,4317.3,2846.354903,4868.287575
Austria,1992,0.481027023,0.447293613,206.4240888,10.5084384,247.2145958,1131.08948,6757.528121,429.6939644,2292.53223,524.6576423,11912.00498,7548.52063,22240.05116,14122.8906,1.942539011,1.252162048,622.7604007,4421.261619,4273.68,2843.982804,4836.331087
Austria,1993,0.431747962,0.453145435,196.472151,8.500307673,230.5215892,1120.369791,6481.387954,460.6729008,2289.110588,526.6409712,12193.09109,7640.706776,22127.95244,13969.39807,1.577844549,0.992340635,583.3758847,4395.547638,4258.37,2885.973014,4837.470665
Austria,1994,0.394578998,0.472746347,185.1341033,7.381151538,220.4526367,1091.657969,6184.600392,489.4028142,2250.188659,530.0374276,12246.89083,7606.329768,21687.48738,13594.85353,2.194583317,0.853871352,546.8658855,4294.106338,4167.16,2878.279196,4762.021484
Austria,1995,0.349213685,0.483376858,174.7314841,5.987689161,196.2797434,1092.284488,6062.927468,503.2124784,2277.442908,506.5090093,12580.80276,7730.917116,21784.84376,13568.16277,0.933382842,0.672899146,523.9912656,4310.484179,4195.24,2963.724778,4801.632857
Austria,1996,0.322049336,0.518701573,166.9451044,5.078269227,179.1091178,1093.094322,5913.827534,501.5241551,2300.839982,453.657612,12857.47422,7873.560628,21868.76076,13464.3968,1.461500768,0.558676865,513.0117841,4334.364482,4228.12,3024.864446,4838.215938
Austria,1997,0.298462897,0.560432935,156.2498274,4.487023231,162.9299403,1063.068971,5677.515017,481.0878145,2251.630705,384.6735965,12732.93484,7777.082885,21217.33394,13079.50129,1.029768693,0.484180971,485.1620668,4226.084631,4130.73,3020.277282,4707.51154
Austria,1998,0.28676041,0.626558055,148.3208124,4.38003219,155.9837451,1058.079542,5514.346971,485.5103283,2247.228426,376.5831955,12873.70801,7853.186675,21055.25345,12913.27158,1.230962904,0.469963402,477.9606996,4209.565054,4123.7,3070.406125,4697.120808
Austria,1999,0.268940636,0.678610307,141.6709566,4.089914267,146.5330863,1045.106978,5347.747139,494.706734,2206.722425,370.9409678,12962.60437,7890.949084,20724.1186,12646.11123,0.837351347,0.431450401,478.6812266,4176.509674,4099.59,3084.193296,4640.321705
Austria,2000,0.293614509,0.84419542,133.5361994,4.24340699,151.8807364,1025.607528,5303.175368,516.445848,2148.500706,350.423635,12956.64952,7852.100629,20204.25384,12420.81087,1.149429727,0.459314346,501.2458959,4113.079418,4046.36,3055.706713,4522.09165
Austria,2001,0.327191885,1.059435796,122.0128155,4.188408112,156.7159816,986.2806331,5183.536755,526.8280114,2058.152302,334.1520338,12775.83773,7699.985725,19288.82273,12015.99346,1.329817107,0.458983256,486.8598266,4002.464677,3948.48,2944.876343,4318.619049
Austria,2002,0.453838012,1.438900112,116.9197567,3.958695376,156.2312663,974.8581893,5162.171331,542.2914539,2026.155829,336.6769876,13060.1262,7772.508017,18986.29534,11880.37855,0.706773639,0.439841762,504.7532322,4016.750712,3970.75,2913.932036,4249.68086
